datetime,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Wind Speed,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Conditions
2019-12-01T00:00:00,35.7,35.7,35.7,26.6,69.06,23.1,288.0,0.0,,0.0,8.9,73.0,1002.1,Partially cloudy
2019-12-01T01:00:00,35.1,35.1,35.1,27.1,72.33,22.9,298.0,0.0,,0.0,9.3,62.8,1003.0,Partially cloudy
2019-12-01T02:00:00,34.5,34.5,34.5,27.0,73.78,21.4,315.0,0.0,,0.0,7.3,70.4,1004.0,Partially cloudy
2019-12-01T03:00:00,35.7,35.7,35.7,25.4,65.7,19.3,303.0,0.0,,0.0,9.9,73.0,1005.6,Partially cloudy
2019-12-01T04:00:00,34.7,34.7,34.7,25.3,68.46,22.0,313.0,0.0,,0.0,9.9,73.0,1007.1,Partially cloudy
2019-12-01T05:00:00,33.5,33.5,33.5,23.9,67.45,16.9,315.0,0.0,,0.0,9.9,52.3,1008.3,Partially cloudy
2019-12-01T06:00:00,33.2,33.2,33.2,22.6,64.6,17.4,313.0,0.0,,0.0,9.9,41.7,1009.9,Partially cloudy
2019-12-01T07:00:00,33.3,33.3,33.3,22.6,64.41,20.8,329.0,0.0,,0.0,9.9,73.0,1011.7,Partially cloudy
2019-12-01T08:00:00,31.8,31.8,31.8,23.9,72.4,17.7,311.0,0.0,,0.0,9.9,60.2,1012.5,Partially cloudy
2019-12-01T09:00:00,33.2,33.2,33.2,22.6,64.77,17.7,313.0,0.0,,0.0,9.9,73.0,1013.6,Partially cloudy
2019-12-01T10:00:00,34.0,34.0,34.0,21.9,60.99,18.6,327.0,0.0,,0.0,9.9,73.0,1014.8,Partially cloudy
2019-12-01T11:00:00,34.1,34.1,34.1,21.9,60.48,16.5,331.0,0.0,,0.0,9.9,70.1,1015.8,Partially cloudy
2019-12-01T12:00:00,34.7,34.7,34.7,22.1,59.53,20.5,323.0,0.0,,0.0,9.9,73.0,1016.1,Partially cloudy
2019-12-01T13:00:00,34.8,34.8,34.8,22.6,60.78,17.2,321.0,0.0,,0.0,9.9,73.0,1016.4,Partially cloudy
2019-12-01T14:00:00,34.5,34.5,34.5,22.7,61.54,18.8,321.0,0.0,,0.0,9.9,73.0,1017.2,Partially cloudy
2019-12-01T15:00:00,34.5,34.5,34.5,22.7,61.62,18.9,331.0,0.0,,0.0,9.9,73.0,1018.2,Partially cloudy
2019-12-01T16:00:00,34.6,34.6,34.6,22.7,61.48,25.9,330.0,0.0,,0.0,9.9,73.0,1018.8,Partially cloudy
2019-12-01T17:00:00,34.0,34.0,34.0,23.4,64.81,17.1,335.0,0.0,,0.0,9.9,73.0,1020.4,Partially cloudy
2019-12-01T18:00:00,33.2,33.2,33.2,22.7,65.01,16.5,342.0,0.0,,0.0,9.9,73.0,1021.0,Partially cloudy
2019-12-01T19:00:00,32.6,32.6,32.6,22.6,66.25,13.3,341.0,0.0,,0.0,9.9,72.1,1021.7,Partially cloudy
2019-12-01T20:00:00,32.4,32.4,32.4,22.7,66.95,12.7,337.0,0.0,,0.0,9.9,68.7,1022.7,Partially cloudy
2019-12-01T21:00:00,31.9,31.9,31.9,23.4,70.61,12.8,328.0,0.0,,0.0,9.9,73.0,1023.5,Partially cloudy
2019-12-01T22:00:00,29.9,29.9,29.9,22.8,74.62,11.4,333.0,0.0,,0.0,9.9,0.0,1023.6,Clear
2019-12-01T23:00:00,28.7,28.7,28.7,21.5,74.15,7.0,322.0,0.0,,0.0,9.9,0.0,1024.0,Clear
2019-12-02T00:00:00,27.0,27.0,27.0,20.9,77.33,4.0,337.0,0.0,,0.0,9.9,0.0,1023.8,Clear
2019-12-02T01:00:00,26.7,26.7,26.7,20.3,76.46,8.2,344.0,0.0,,0.0,9.9,0.0,1023.8,Clear
2019-12-02T02:00:00,24.2,24.2,24.2,19.7,82.69,5.5,307.0,0.0,,0.0,9.9,0.0,1024.4,Clear
2019-12-02T03:00:00,22.5,22.5,22.5,18.0,82.56,4.7,265.0,0.0,,0.0,9.9,0.0,1025.2,Clear
2019-12-02T04:00:00,21.4,21.4,21.4,17.8,85.52,6.4,263.0,0.0,,0.0,9.9,0.0,1025.2,Clear
2019-12-02T05:00:00,23.2,23.2,23.2,18.9,83.17,6.2,266.0,0.0,,0.0,9.9,0.0,1026.3,Clear
2019-12-02T06:00:00,21.8,21.8,21.8,18.5,86.84,1.8,333.0,0.0,,0.0,9.9,0.0,1026.0,Clear
2019-12-02T07:00:00,22.0,22.0,22.0,17.7,83.21,3.1,356.0,0.0,,0.0,9.9,0.0,1025.5,Clear
2019-12-02T08:00:00,20.9,20.9,20.9,17.0,84.89,3.6,270.0,0.0,,0.0,9.9,4.4,1026.2,Clear
2019-12-02T09:00:00,25.7,25.7,25.7,20.3,79.64,1.8,52.0,0.0,,0.0,9.9,4.4,1025.5,Clear
2019-12-02T10:00:00,29.8,29.8,29.8,20.8,68.72,0.0,0.0,0.0,,0.0,9.9,4.4,1025.9,Clear
2019-12-02T11:00:00,33.9,33.9,33.9,20.2,56.83,4.8,243.0,0.0,,0.0,9.9,2.5,1025.1,Clear
2019-12-02T12:00:00,38.5,38.5,38.5,18.1,43.34,7.2,210.0,0.0,,0.0,9.9,4.4,1024.0,Clear
2019-12-02T13:00:00,41.9,41.9,41.9,13.5,31.14,6.0,231.0,0.0,,0.0,9.9,4.4,1022.6,Clear
2019-12-02T14:00:00,45.2,45.2,45.2,13.2,26.99,5.5,208.0,0.0,,0.0,9.9,0.0,1021.2,Clear
2019-12-02T15:00:00,47.3,47.3,47.3,12.9,24.71,4.7,192.0,0.0,,0.0,9.9,0.0,1019.9,Clear
2019-12-02T16:00:00,47.6,47.6,47.6,13.3,24.77,6.5,202.0,0.0,,0.0,9.9,0.0,1019.5,Clear
2019-12-02T17:00:00,41.9,41.9,41.9,16.3,35.13,5.7,180.0,0.0,,0.0,9.9,0.0,1019.0,Clear
2019-12-02T18:00:00,36.5,36.5,36.5,16.8,44.46,2.0,90.0,0.0,,0.0,9.9,4.4,1019.0,Clear
