datetime,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Wind Speed,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Conditions
2020-06-16T00:00:00,76.1,76.1,76.1,59.7,56.93,7.2,159.0,0.0,,0.0,9.9,0.0,1019.1,Clear
2020-06-16T01:00:00,74.2,74.2,74.2,60.9,63.15,8.6,153.0,0.0,,0.0,9.9,0.0,1018.9,Clear
2020-06-16T02:00:00,74.2,74.2,74.2,60.9,63.21,8.1,157.0,0.0,,0.0,9.9,0.0,1018.6,Clear
2020-06-16T03:00:00,72.7,72.7,72.7,60.9,66.58,5.7,177.0,0.0,,0.0,9.9,0.0,1018.7,Clear
2020-06-16T04:00:00,71.5,71.5,71.5,60.9,69.34,5.1,194.0,0.0,,0.0,9.9,0.0,1018.6,Clear
2020-06-16T05:00:00,69.9,69.9,69.9,61.0,73.23,3.5,84.0,0.0,,0.0,9.9,0.0,1018.7,Clear
2020-06-16T06:00:00,69.2,69.2,69.2,60.9,75.02,5.6,172.0,0.0,,0.0,9.9,0.0,1018.9,Clear
2020-06-16T07:00:00,69.9,69.9,69.9,62.7,77.92,3.8,82.0,0.0,,0.0,9.9,0.0,1019.4,Clear
2020-06-16T08:00:00,74.9,74.9,74.9,63.4,67.6,5.3,143.0,0.0,,0.0,9.9,0.0,1019.6,Clear
2020-06-16T09:00:00,80.2,80.2,80.2,64.2,58.09,8.3,189.0,0.0,,0.0,9.9,0.0,1019.4,Clear
2020-06-16T10:00:00,82.5,82.5,82.5,65.4,56.31,11.6,186.0,0.0,,0.0,9.9,0.0,1019.3,Clear
2020-06-16T11:00:00,85.9,85.9,85.9,64.9,49.58,11.4,190.0,0.0,,0.0,9.9,0.0,1018.8,Clear
2020-06-16T12:00:00,88.3,88.3,88.3,64.1,44.73,12.6,181.0,0.0,,0.0,9.9,12.8,1018.3,Clear
2020-06-16T13:00:00,90.0,90.0,90.0,64.0,42.26,11.0,185.0,0.0,,0.0,9.9,2.4,1017.8,Clear
2020-06-16T14:00:00,90.3,90.3,90.3,62.8,40.2,12.9,169.0,0.0,,0.0,9.9,25.6,1017.2,Partially cloudy
2020-06-16T15:00:00,91.8,91.8,91.8,62.8,38.26,11.7,171.0,0.0,,0.0,9.9,25.6,1016.5,Partially cloudy
2020-06-16T16:00:00,91.3,91.3,91.3,62.8,38.9,13.3,159.0,0.0,,0.0,9.9,24.2,1016.0,Clear
2020-06-16T17:00:00,90.7,90.7,90.7,62.1,38.62,14.7,164.0,0.0,,0.0,9.9,25.6,1015.0,Partially cloudy
2020-06-16T18:00:00,90.1,90.1,90.1,61.0,37.83,13.2,160.0,0.0,,0.0,9.9,0.0,1014.4,Clear
2020-06-16T19:00:00,88.7,88.7,88.7,60.8,39.35,10.6,166.0,0.0,,0.0,9.9,0.0,1014.2,Clear
2020-06-16T20:00:00,86.0,86.0,86.0,61.5,43.88,8.6,156.0,0.0,,0.0,9.9,0.0,1014.1,Clear
2020-06-16T21:00:00,82.4,82.4,82.4,61.0,48.42,8.3,156.0,0.0,,0.0,9.9,0.0,1014.1,Clear
2020-06-16T22:00:00,80.5,80.5,80.5,61.6,52.61,7.6,156.0,0.0,,0.0,9.9,0.0,1014.6,Clear
2020-06-16T23:00:00,78.3,78.3,78.3,62.2,57.81,8.2,154.0,0.0,,0.0,9.9,0.0,1015.1,Clear
2020-06-17T00:00:00,77.9,77.9,77.9,62.8,59.94,8.0,151.0,0.0,,0.0,9.9,0.0,1015.1,Clear
2020-06-17T01:00:00,76.3,76.3,76.3,65.3,68.78,10.5,159.0,0.0,,0.0,9.9,0.0,1014.9,Clear
2020-06-17T02:00:00,75.3,75.3,75.3,65.9,72.74,8.9,150.0,0.0,,0.0,9.9,0.0,1014.6,Clear
2020-06-17T03:00:00,74.2,74.2,74.2,65.3,73.76,9.6,162.0,0.0,,0.0,9.9,0.0,1014.5,Clear
2020-06-17T04:00:00,73.1,73.1,73.1,65.9,78.35,6.9,163.0,0.0,,0.0,9.9,0.0,1014.8,Clear
2020-06-17T05:00:00,72.8,72.8,72.8,65.9,79.19,7.9,168.0,0.0,,0.0,9.9,0.0,1014.7,Clear
2020-06-17T06:00:00,71.7,71.7,71.7,65.9,81.99,9.7,168.0,0.0,,0.0,9.9,0.0,1014.7,Clear
2020-06-17T07:00:00,71.8,71.8,71.8,66.0,81.96,8.2,174.0,0.0,,0.0,9.9,0.0,1014.9,Clear
2020-06-17T08:00:00,74.7,74.7,74.7,67.1,77.43,10.3,188.0,0.0,,0.0,9.9,0.0,1014.9,Clear
