datetime,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Conditions
2019-06-16T00:00:00,66.2,66.2,66.2,64.5,94.23,,0.0,,0.0,,0.0,,0.0,9.9,0.0,1009.4,Clear
2019-06-16T01:00:00,65.5,65.5,65.5,64.5,96.7,,0.0,,0.0,,0.0,,0.0,9.9,0.0,1009.4,Clear
2019-06-16T02:00:00,64.1,64.1,64.1,64.3,100.0,,0.0,,0.0,,0.0,,0.0,6.3,0.0,1009.0,Clear
2019-06-16T03:00:00,63.7,63.7,63.7,62.9,97.24,,3.5,,326.0,,0.0,,0.0,9.9,0.0,1007.7,Clear
2019-06-16T04:00:00,62.7,62.7,62.7,62.6,99.64,,5.5,,283.0,,0.0,,0.0,8.1,0.0,1008.4,Clear
2019-06-16T05:00:00,64.4,64.4,64.4,61.1,88.9,,5.4,,252.0,,0.0,,0.0,9.1,0.0,1009.6,Clear
2019-06-16T06:00:00,62.6,62.6,62.6,59.8,90.49,,2.5,,326.0,,0.0,,0.0,7.5,0.0,1010.4,Clear
2019-06-16T07:00:00,64.1,64.1,64.1,61.1,89.99,,1.1,,335.0,,0.0,,0.0,9.9,0.0,1010.4,Clear
2019-06-16T08:00:00,65.8,65.8,65.8,61.4,85.75,,3.7,,7.0,,0.0,,0.0,9.9,0.0,1010.9,Clear
2019-06-16T09:00:00,69.9,69.9,69.9,62.0,76.03,,3.8,,56.0,,0.0,,0.0,9.9,0.0,1011.2,Clear
2019-06-16T10:00:00,74.0,74.0,74.0,63.4,69.51,,8.1,18.3,336.0,,0.0,,0.0,9.9,0.0,1011.5,Clear
2019-06-16T11:00:00,78.8,78.8,78.8,61.1,54.61,,5.8,,359.0,,0.0,,0.0,9.9,0.0,1011.1,Clear
2019-06-16T12:00:00,81.2,81.2,81.2,57.4,44.29,81.3,6.2,,355.0,,0.0,,0.0,9.9,2.5,1011.5,Clear
2019-06-16T13:00:00,82.2,82.2,82.2,58.5,44.57,82.2,8.0,,16.0,,0.0,,0.0,9.7,2.5,1011.1,Clear
2019-06-16T14:00:00,82.9,82.9,82.9,56.1,39.96,82.3,7.2,,4.0,,0.0,,0.0,9.9,3.4,1010.5,Clear
2019-06-16T15:00:00,83.0,83.0,83.0,54.1,37.06,82.0,9.3,18.3,5.0,,0.0,,0.0,9.9,2.5,1010.5,Clear
2019-06-16T16:00:00,84.3,84.3,84.3,55.1,36.95,83.1,11.5,17.2,23.0,,0.0,,0.0,9.9,12.3,1010.2,Clear
2019-06-16T17:00:00,84.3,84.3,84.3,57.2,39.78,83.5,7.0,,27.0,,0.0,,0.0,9.9,12.3,1010.1,Clear
2019-06-16T18:00:00,82.8,82.8,82.8,57.3,41.93,82.4,5.2,,18.0,,0.0,,0.0,9.9,32.1,1009.8,Partially cloudy
2019-06-16T19:00:00,82.1,82.1,82.1,55.2,39.71,81.5,6.2,,36.0,,0.0,,0.0,9.9,0.0,1009.8,Clear
2019-06-16T20:00:00,78.4,78.4,78.4,60.5,54.19,,1.8,,348.0,,0.0,,0.0,9.9,0.0,1010.0,Clear
2019-06-16T21:00:00,74.2,74.2,74.2,61.1,63.85,,1.7,,35.0,,0.0,,0.0,9.9,0.0,1010.1,Clear
2019-06-16T22:00:00,69.8,69.8,69.8,61.1,73.94,,1.1,,35.0,,0.0,,0.0,9.9,0.0,1010.6,Clear
2019-06-16T23:00:00,68.5,68.5,68.5,61.0,76.89,,0.0,,0.0,,0.0,,0.0,9.9,0.0,1011.3,Clear
2019-06-17T00:00:00,66.0,66.0,66.0,61.2,84.44,,0.0,,0.0,,0.0,,0.0,9.9,0.0,1011.7,Clear
2019-06-17T01:00:00,65.5,65.5,65.5,60.6,84.1,,1.6,,55.0,,0.0,,0.0,9.9,0.0,1011.7,Clear
2019-06-17T02:00:00,64.0,64.0,64.0,60.6,88.58,,0.4,,7.0,,0.0,,0.0,9.9,0.0,1011.5,Clear
2019-06-17T03:00:00,63.1,63.1,63.1,59.8,89.01,,0.0,,0.0,,0.0,,0.0,9.9,0.0,1011.6,Clear
2019-06-17T04:00:00,62.1,62.1,62.1,60.3,93.57,,1.1,,60.0,,0.0,,0.0,9.9,0.0,1011.7,Clear
2019-06-17T05:00:00,62.9,62.9,62.9,60.3,91.17,,0.4,,5.0,,0.0,,0.0,9.9,0.0,1011.9,Clear
2019-06-17T06:00:00,61.2,61.2,61.2,59.7,94.5,,0.0,,0.0,,0.0,,0.0,9.9,0.0,1012.2,Clear
2019-06-17T07:00:00,63.0,63.0,63.0,61.5,94.82,,0.0,,0.0,,0.0,,0.0,9.9,2.5,1012.4,Clear
2019-06-17T08:00:00,66.7,66.7,66.7,64.1,91.24,,0.4,,3.0,,0.0,,0.0,9.9,4.4,1012.8,Clear
2019-06-17T09:00:00,72.2,72.2,72.2,65.5,79.71,,5.1,,46.0,,0.0,,0.0,9.9,7.9,1013.2,Clear
2019-06-17T10:00:00,74.4,74.4,74.4,66.8,77.12,,3.1,,27.0,,0.0,,0.0,9.9,7.9,1013.9,Clear
2019-06-17T11:00:00,77.5,77.5,77.5,65.0,65.39,,6.3,,69.0,,0.0,,0.0,9.9,7.9,1014.3,Clear
2019-06-17T12:00:00,80.0,80.0,80.0,64.9,60.14,,6.0,,80.0,,0.0,,0.0,9.9,25.0,1014.0,Clear
2019-06-17T13:00:00,81.6,81.6,81.6,62.2,51.83,82.6,8.0,,80.0,,0.0,,0.0,9.9,3.4,1013.7,Clear
2019-06-17T14:00:00,83.5,83.5,83.5,59.9,44.91,83.6,10.1,,86.0,,0.0,,0.0,9.9,3.4,1013.4,Clear
2019-06-17T15:00:00,84.4,84.4,84.4,59.6,43.25,84.2,5.1,17.2,79.0,,0.0,,0.0,9.9,15.7,1012.9,Clear
2019-06-17T16:00:00,85.3,85.3,85.3,57.7,39.16,84.5,5.1,,119.0,,0.0,,0.0,9.9,15.7,1012.4,Clear
2019-06-17T17:00:00,84.9,84.9,84.9,58.0,40.18,84.3,6.0,,87.0,,0.0,,0.0,9.9,24.1,1011.8,Clear
2019-06-17T18:00:00,84.9,84.9,84.9,57.4,39.33,84.1,6.6,,78.0,,0.0,,0.0,9.9,24.1,1011.2,Clear
2019-06-17T19:00:00,82.9,82.9,82.9,57.0,41.3,82.5,6.5,,97.0,,0.0,,0.0,9.9,22.7,1011.3,Clear
2019-06-17T20:00:00,81.1,81.1,81.1,59.1,47.23,81.5,6.7,,92.0,,0.0,,0.0,9.9,15.7,1011.4,Clear
2019-06-17T21:00:00,76.3,76.3,76.3,59.8,56.63,,4.5,,96.0,,0.0,,0.0,9.9,0.0,1011.0,Clear
2019-06-17T22:00:00,71.1,71.1,71.1,59.7,67.35,,1.7,,70.0,,0.0,,0.0,9.9,0.0,1012.3,Clear
2019-06-17T23:00:00,68.6,68.6,68.6,60.6,75.55,,2.0,,65.0,,0.0,,0.0,9.9,0.0,1013.4,Clear
2019-06-18T00:00:00,68.4,68.4,68.4,60.0,74.52,,1.6,,70.0,,0.0,,0.0,9.9,0.0,1013.9,Clear
2019-06-18T01:00:00,65.7,65.7,65.7,60.5,83.16,,2.0,,65.0,,0.0,,0.0,9.9,0.0,1013.8,Clear
2019-06-18T02:00:00,65.8,65.8,65.8,60.5,83.11,,2.0,,80.0,,0.0,,0.0,9.9,0.0,1012.9,Clear
2019-06-18T03:00:00,65.4,65.4,65.4,61.6,87.44,,1.6,,70.0,,0.0,,0.0,9.9,0.0,1012.9,Clear
2019-06-18T04:00:00,64.5,64.5,64.5,61.6,90.55,,1.1,,85.0,,0.0,,0.0,9.9,0.0,1012.6,Clear
2019-06-18T05:00:00,63.8,63.8,63.8,62.0,93.89,,0.0,,0.0,,0.0,,0.0,9.9,0.0,1012.5,Clear
2019-06-18T06:00:00,63.2,63.2,63.2,61.7,94.92,,1.5,,69.0,,0.0,,0.0,9.9,0.0,1012.5,Clear
2019-06-18T07:00:00,64.5,64.5,64.5,63.4,96.37,,0.0,,0.0,,0.0,,0.0,9.9,0.0,1012.3,Clear
2019-06-18T08:00:00,70.2,70.2,70.2,66.0,86.56,,0.4,,3.0,,0.0,,0.0,9.9,0.0,1012.2,Clear
2019-06-18T09:00:00,74.6,74.6,74.6,67.4,78.24,,4.7,,189.0,,0.0,,0.0,9.9,2.5,1012.2,Clear
2019-06-18T10:00:00,76.7,76.7,76.7,67.4,72.99,,2.9,,71.0,,0.0,,0.0,9.9,7.9,1012.5,Clear
2019-06-18T11:00:00,76.2,76.2,76.2,68.0,75.86,,4.9,,94.0,,0.0,,0.0,9.9,48.3,1012.5,Partially cloudy
2019-06-18T12:00:00,78.5,78.5,78.5,68.8,72.26,,6.4,,132.0,,0.0,,0.0,9.9,68.7,1012.0,Partially cloudy
2019-06-18T13:00:00,80.9,80.9,80.9,67.3,63.29,83.4,8.6,,117.0,,0.0,,0.0,9.9,39.9,1011.1,Partially cloudy
2019-06-18T14:00:00,79.4,79.4,79.4,66.5,64.69,,9.4,20.8,135.0,,0.0,,0.0,9.9,46.7,1009.6,Partially cloudy
2019-06-18T15:00:00,68.1,68.1,68.1,64.8,89.3,,17.6,43.2,264.0,,0.1,,0.0,4.1,47.3,1011.9,Rain Partially cloudy
2019-06-18T16:00:00,66.5,66.5,66.5,64.4,92.94,,8.3,,330.0,,0.11,,0.0,3.4,45.3,1011.6,Rain Partially cloudy
2019-06-18T17:00:00,66.5,66.5,66.5,64.7,93.95,,5.1,,353.0,,0.1,,0.0,8.3,34.5,1010.6,Rain Partially cloudy
2019-06-18T18:00:00,66.6,66.6,66.6,64.6,93.4,,11.0,,48.0,,0.06,,0.0,8.9,42.5,1010.1,Rain Partially cloudy
2019-06-18T19:00:00,66.6,66.6,66.6,64.7,93.81,,7.9,,40.0,,0.0,,0.0,9.9,68.8,1009.6,Partially cloudy
2019-06-18T20:00:00,66.6,66.6,66.6,64.6,93.29,,6.4,17.2,76.0,,0.0,,0.0,9.9,62.3,1009.9,Partially cloudy
2019-06-18T21:00:00,66.6,66.6,66.6,64.1,91.73,,2.4,,11.0,,0.0,,0.0,9.9,70.1,1009.8,Partially cloudy
2019-06-18T22:00:00,66.5,66.5,66.5,64.1,92.18,,2.5,,17.0,,0.0,,0.0,9.9,58.1,1009.8,Partially cloudy
2019-06-18T23:00:00,65.8,65.8,65.8,64.8,96.42,,3.0,,13.0,,0.0,,0.0,9.9,61.1,1010.0,Partially cloudy
2019-06-19T00:00:00,65.9,65.9,65.9,64.3,94.68,,2.0,,31.0,,0.0,,0.0,9.9,70.1,1009.8,Partially cloudy
2019-06-19T01:00:00,65.8,65.8,65.8,64.8,96.27,,1.6,,360.0,,0.0,,0.0,9.9,69.8,1008.7,Partially cloudy
2019-06-19T02:00:00,65.8,65.8,65.8,64.1,94.26,,2.0,,14.0,,0.0,,0.0,9.9,62.8,1009.0,Partially cloudy
2019-06-19T03:00:00,65.7,65.7,65.7,63.6,92.75,,2.4,,18.0,,0.0,,0.0,8.9,57.6,1007.9,Partially cloudy
2019-06-19T04:00:00,64.8,64.8,64.8,63.6,95.93,,2.7,,10.0,,0.0,,0.0,8.9,66.9,1008.2,Partially cloudy
