datetime,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Wind Speed,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Conditions
2019-12-16T00:00:00,22.8,22.8,22.8,19.1,85.47,9.0,30.0,0.0,,3.75,9.9,54.4,1019.0,Partially cloudy
2019-12-16T01:00:00,22.2,22.2,22.2,19.0,87.12,7.1,39.0,0.0,,3.92,9.9,72.5,1019.9,Partially cloudy
2019-12-16T02:00:00,22.2,22.2,22.2,19.5,89.2,0.4,7.0,0.0,,4.09,9.9,73.0,1021.4,Partially cloudy
2019-12-16T03:00:00,23.2,23.2,23.2,19.5,85.55,1.6,345.0,0.0,,4.26,9.9,73.0,1022.2,Partially cloudy
2019-12-16T04:00:00,23.3,23.3,23.3,19.6,85.39,4.9,4.0,0.0,,4.43,9.9,65.5,1021.7,Partially cloudy
2019-12-16T05:00:00,22.9,22.9,22.9,19.0,84.76,6.1,13.0,0.0,,4.6,8.9,73.0,1021.4,Partially cloudy
2019-12-16T06:00:00,22.8,22.8,22.8,19.7,87.43,5.8,12.0,0.0,,4.78,8.3,54.0,1022.2,Partially cloudy
2019-12-16T07:00:00,22.8,22.8,22.8,19.0,85.36,6.8,14.0,0.0,,4.95,7.8,47.3,1022.5,Partially cloudy
2019-12-16T08:00:00,22.2,22.2,22.2,19.0,87.36,6.0,11.0,0.0,,5.12,7.8,73.0,1023.1,Partially cloudy
2019-12-16T09:00:00,22.2,22.2,22.2,19.0,87.4,6.7,36.0,0.0,,5.07,8.3,73.0,1023.5,Partially cloudy
2019-12-16T10:00:00,23.6,23.6,23.6,19.7,85.01,5.1,16.0,0.0,,5.02,9.9,64.2,1024.6,Partially cloudy
2019-12-16T11:00:00,24.0,24.0,24.0,19.6,83.18,4.5,21.0,0.0,,4.97,7.8,73.0,1024.8,Partially cloudy
2019-12-16T12:00:00,24.7,24.7,24.7,20.8,84.94,5.4,6.0,0.0,,4.92,8.3,73.0,1024.5,Partially cloudy
2019-12-16T13:00:00,25.4,25.4,25.4,20.8,82.51,4.9,10.0,0.0,,4.87,8.3,68.4,1024.1,Partially cloudy
2019-12-16T14:00:00,25.7,25.7,25.7,20.8,81.49,5.6,357.0,0.0,,4.82,8.3,73.0,1023.8,Partially cloudy
2019-12-16T15:00:00,26.0,26.0,26.0,20.8,80.31,4.4,325.0,0.0,,4.77,8.3,68.4,1024.0,Partially cloudy
2019-12-16T16:00:00,26.5,26.5,26.5,20.8,78.74,5.0,333.0,0.0,,4.72,8.3,70.4,1024.6,Partially cloudy
2019-12-16T17:00:00,24.6,24.6,24.6,20.3,83.47,2.3,348.0,0.0,,4.68,7.6,27.7,1025.2,Partially cloudy
2019-12-16T18:00:00,20.6,20.6,20.6,17.3,86.87,0.0,0.0,0.0,,4.63,7.4,15.3,1025.9,Clear
2019-12-16T19:00:00,18.2,18.2,18.2,15.7,89.63,1.7,340.0,0.0,,4.58,5.6,0.0,1026.3,Clear
2019-12-16T20:00:00,16.5,16.5,16.5,12.6,84.55,1.1,345.0,0.0,,4.53,4.4,0.0,1026.8,Clear
2019-12-16T21:00:00,12.9,12.9,12.9,10.3,89.08,0.0,0.0,0.0,,4.48,3.4,24.6,1027.1,Clear
2019-12-16T22:00:00,12.0,12.0,12.0,10.5,93.23,3.1,320.0,0.0,,4.43,3.4,24.6,1027.3,Clear
2019-12-16T23:00:00,9.9,9.9,9.9,6.4,85.46,0.0,0.0,0.0,,4.38,4.0,24.6,1027.8,Clear
2019-12-17T00:00:00,9.0,9.0,9.0,6.8,90.34,0.6,340.0,0.0,,4.33,2.8,68.7,1028.0,Partially cloudy
2019-12-17T01:00:00,9.4,9.4,9.4,6.5,87.7,3.0,261.0,0.0,,4.28,2.7,68.4,1028.2,Partially cloudy
2019-12-17T02:00:00,10.8,10.8,10.8,8.0,88.16,0.0,0.0,0.0,,4.23,2.6,36.0,1028.2,Partially cloudy
2019-12-17T03:00:00,11.7,11.7,11.7,8.9,88.46,2.7,274.0,0.0,,4.18,2.6,34.3,1028.5,Partially cloudy
2019-12-17T04:00:00,12.2,12.2,12.2,10.8,93.89,4.0,266.0,0.0,,4.13,2.2,38.9,1028.2,Partially cloudy
2019-12-17T05:00:00,11.1,11.1,11.1,8.3,88.21,4.3,262.0,0.0,,4.08,5.6,73.0,1028.2,Partially cloudy
2019-12-17T06:00:00,10.9,10.9,10.9,8.0,87.51,4.8,262.0,0.0,,4.04,6.4,48.4,1028.8,Partially cloudy
2019-12-17T07:00:00,11.6,11.6,11.6,9.0,89.25,3.6,266.0,0.0,,3.99,4.0,48.4,1028.9,Partially cloudy
2019-12-17T08:00:00,10.6,10.6,10.6,8.0,89.08,3.1,279.0,0.0,,3.94,5.1,48.4,1029.3,Partially cloudy
2019-12-17T09:00:00,12.8,12.8,12.8,9.7,87.06,2.5,285.0,0.0,,3.77,7.3,10.8,1029.6,Clear
2019-12-17T10:00:00,17.0,17.0,17.0,14.8,91.05,3.1,273.0,0.0,,3.61,9.1,0.0,1030.1,Clear
2019-12-17T11:00:00,21.6,21.6,21.6,20.2,94.11,5.9,224.0,0.0,,3.44,9.9,0.0,1030.1,Clear
