datetime,AQI_PM2.5,AQI_OZONE
2021-06-01T00:00:00,42,5.0
2021-06-01T01:00:00,43,3.0
2021-06-01T02:00:00,43,1.0
2021-06-01T03:00:00,44,0.0
2021-06-01T04:00:00,45,0.0
2021-06-01T05:00:00,45,0.0
2021-06-01T06:00:00,47,1.0
2021-06-01T07:00:00,48,2.0
2021-06-01T08:00:00,48,4.0
2021-06-01T09:00:00,48,8.0
2021-06-01T10:00:00,49,13.0
2021-06-01T11:00:00,49,19.0
2021-06-01T12:00:00,46,23.0
2021-06-01T13:00:00,44,29.0
2021-06-01T14:00:00,42,34.0
2021-06-01T15:00:00,41,38.0
2021-06-01T16:00:00,40,41.0
2021-06-01T17:00:00,40,40.0
2021-06-01T18:00:00,39,37.0
2021-06-01T19:00:00,38,33.0
2021-06-01T20:00:00,37,31.0
2021-06-01T21:00:00,36,30.0
2021-06-01T22:00:00,35,27.0
2021-06-01T23:00:00,34,25.0
2021-06-02T00:00:00,34,22.0
2021-06-02T01:00:00,34,22.0
2021-06-02T02:00:00,36,22.0
2021-06-02T03:00:00,36,21.0
2021-06-02T04:00:00,37,19.0
2021-06-02T05:00:00,36,18.0
2021-06-02T06:00:00,35,17.0
2021-06-02T07:00:00,34,16.0
2021-06-02T08:00:00,33,16.0
2021-06-02T09:00:00,31,17.0
2021-06-02T10:00:00,30,19.0
2021-06-02T11:00:00,28,22.0
2021-06-02T12:00:00,28,26.0
2021-06-02T13:00:00,28,29.0
2021-06-02T14:00:00,28,31.0
2021-06-02T15:00:00,27,33.0
2021-06-02T16:00:00,26,35.0
2021-06-02T17:00:00,26,36.0
2021-06-02T18:00:00,25,35.0
2021-06-02T19:00:00,25,34.0
2021-06-02T20:00:00,25,32.0
2021-06-02T21:00:00,25,31.0
2021-06-02T22:00:00,24,29.0
2021-06-02T23:00:00,23,28.0
2021-06-03T00:00:00,22,25.0
2021-06-03T01:00:00,21,23.0
2021-06-03T02:00:00,20,20.0
2021-06-03T03:00:00,20,18.0
2021-06-03T04:00:00,19,15.0
2021-06-03T05:00:00,19,12.0
2021-06-03T06:00:00,20,11.0
2021-06-03T07:00:00,20,9.0
2021-06-03T08:00:00,21,6.0
2021-06-03T09:00:00,21,6.0
2021-06-03T10:00:00,22,6.0
2021-06-03T11:00:00,23,
2021-06-03T12:00:00,24,18.0
2021-06-03T13:00:00,24,19.0
2021-06-03T14:00:00,23,17.0
2021-06-03T15:00:00,23,17.0
2021-06-03T16:00:00,23,16.0
2021-06-03T17:00:00,22,14.0
2021-06-03T18:00:00,21,11.0
2021-06-03T19:00:00,20,10.0
2021-06-03T20:00:00,20,7.0
2021-06-03T21:00:00,19,7.0
2021-06-03T22:00:00,19,6.0
2021-06-03T23:00:00,19,6.0
2021-06-04T00:00:00,19,5.0
2021-06-04T01:00:00,20,6.0
2021-06-04T02:00:00,19,6.0
2021-06-04T03:00:00,20,7.0
2021-06-04T04:00:00,19,8.0
2021-06-04T05:00:00,19,7.0
2021-06-04T06:00:00,18,6.0
2021-06-04T07:00:00,18,7.0
2021-06-04T08:00:00,18,9.0
2021-06-04T09:00:00,19,11.0
2021-06-04T10:00:00,18,15.0
2021-06-04T11:00:00,17,19.0
2021-06-04T12:00:00,16,22.0
2021-06-04T13:00:00,18,26.0
2021-06-04T14:00:00,18,29.0
2021-06-04T15:00:00,19,31.0
2021-06-04T16:00:00,20,31.0
2021-06-04T17:00:00,20,28.0
2021-06-04T18:00:00,20,25.0
2021-06-04T19:00:00,21,21.0
2021-06-04T20:00:00,22,18.0
