datetime,AQI_PM2.5,Parameter_PM2.5,Unit_PM2.5,Value_PM2.5,Category_PM2.5,AQI_OZONE,Parameter_OZONE,Unit_OZONE,Value_OZONE,Category_OZONE
2020-07-02T22:00:00,31.0,PM2.5,UG/M3,7.5,1.0,19,OZONE,PPB,21.0,1
2020-07-02T23:00:00,33.0,PM2.5,UG/M3,7.9,1.0,18,OZONE,PPB,19.0,1
2020-07-03T00:00:00,34.0,PM2.5,UG/M3,8.1,1.0,17,OZONE,PPB,18.0,1
2020-07-03T01:00:00,35.0,PM2.5,UG/M3,8.3,1.0,16,OZONE,PPB,17.0,1
2020-07-03T02:00:00,35.0,PM2.5,UG/M3,8.5,1.0,15,OZONE,PPB,16.0,1
2020-07-03T03:00:00,35.0,PM2.5,UG/M3,8.5,1.0,15,OZONE,PPB,16.0,1
2020-07-03T04:00:00,36.0,PM2.5,UG/M3,8.6,1.0,15,OZONE,PPB,16.0,1
2020-07-03T05:00:00,36.0,PM2.5,UG/M3,8.7,1.0,16,OZONE,PPB,17.0,1
2020-07-03T06:00:00,38.0,PM2.5,UG/M3,9.2,1.0,17,OZONE,PPB,18.0,1
2020-07-03T07:00:00,39.0,PM2.5,UG/M3,9.3,1.0,19,OZONE,PPB,21.0,1
2020-07-03T08:00:00,40.0,PM2.5,UG/M3,9.7,1.0,22,OZONE,PPB,24.0,1
2020-07-03T09:00:00,41.0,PM2.5,UG/M3,9.8,1.0,24,OZONE,PPB,26.0,1
2020-07-03T10:00:00,40.0,PM2.5,UG/M3,9.7,1.0,27,OZONE,PPB,29.0,1
2020-07-03T11:00:00,40.0,PM2.5,UG/M3,9.7,1.0,31,OZONE,PPB,33.0,1
2020-07-03T12:00:00,40.0,PM2.5,UG/M3,9.6,1.0,34,OZONE,PPB,37.0,1
2020-07-03T13:00:00,39.0,PM2.5,UG/M3,9.4,1.0,39,OZONE,PPB,42.0,1
2020-07-03T14:00:00,39.0,PM2.5,UG/M3,9.4,1.0,40,OZONE,PPB,43.0,1
2020-07-03T15:00:00,37.0,PM2.5,UG/M3,8.9,1.0,43,OZONE,PPB,46.0,1
2020-07-03T16:00:00,37.0,PM2.5,UG/M3,8.9,1.0,43,OZONE,PPB,46.0,1
2020-07-03T17:00:00,35.0,PM2.5,UG/M3,8.5,1.0,43,OZONE,PPB,46.0,1
2020-07-03T18:00:00,34.0,PM2.5,UG/M3,8.2,1.0,41,OZONE,PPB,44.0,1
2020-07-03T19:00:00,33.0,PM2.5,UG/M3,7.8,1.0,38,OZONE,PPB,41.0,1
2020-07-03T20:00:00,31.0,PM2.5,UG/M3,7.4,1.0,33,OZONE,PPB,36.0,1
2020-07-03T21:00:00,30.0,PM2.5,UG/M3,7.1,1.0,30,OZONE,PPB,32.0,1
2020-07-03T22:00:00,28.0,PM2.5,UG/M3,6.7,1.0,28,OZONE,PPB,30.0,1
2020-07-03T23:00:00,26.0,PM2.5,UG/M3,6.2,1.0,23,OZONE,PPB,25.0,1
2020-07-04T00:00:00,25.0,PM2.5,UG/M3,6.0,1.0,20,OZONE,PPB,22.0,1
2020-07-04T01:00:00,25.0,PM2.5,UG/M3,5.9,1.0,19,OZONE,PPB,20.0,1
2020-07-04T02:00:00,24.0,PM2.5,UG/M3,5.8,1.0,18,OZONE,PPB,19.0,1
2020-07-04T03:00:00,23.0,PM2.5,UG/M3,5.6,1.0,18,OZONE,PPB,19.0,1
2020-07-04T04:00:00,23.0,PM2.5,UG/M3,5.5,1.0,17,OZONE,PPB,18.0,1
2020-07-04T05:00:00,23.0,PM2.5,UG/M3,5.4,1.0,17,OZONE,PPB,18.0,1
2020-07-04T06:00:00,21.0,PM2.5,UG/M3,5.0,1.0,16,OZONE,PPB,17.0,1
2020-07-04T07:00:00,20.0,PM2.5,UG/M3,4.9,1.0,17,OZONE,PPB,18.0,1
2020-07-04T08:00:00,20.0,PM2.5,UG/M3,4.7,1.0,18,OZONE,PPB,19.0,1
2020-07-04T09:00:00,20.0,PM2.5,UG/M3,4.7,1.0,19,OZONE,PPB,21.0,1
2020-07-04T10:00:00,26.0,PM2.5,UG/M3,6.2,1.0,21,OZONE,PPB,23.0,1
2020-07-04T11:00:00,40.0,PM2.5,UG/M3,9.5,1.0,24,OZONE,PPB,26.0,1
2020-07-04T12:00:00,53.0,PM2.5,UG/M3,13.2,2.0,28,OZONE,PPB,30.0,1
