datetime,AQI_PM2.5,Parameter_PM2.5,Unit_PM2.5,Value_PM2.5,Category_PM2.5,AQI_OZONE,Parameter_OZONE,Unit_OZONE,Value_OZONE,Category_OZONE
2020-08-02T22:00:00,37,PM2.5,UG/M3,8.9,1,28.0,OZONE,PPB,30.0,1.0
2020-08-02T23:00:00,37,PM2.5,UG/M3,8.8,1,27.0,OZONE,PPB,29.0,1.0
2020-08-03T00:00:00,37,PM2.5,UG/M3,8.8,1,26.0,OZONE,PPB,28.0,1.0
2020-08-03T01:00:00,38,PM2.5,UG/M3,9.0,1,25.0,OZONE,PPB,27.0,1.0
2020-08-03T02:00:00,37,PM2.5,UG/M3,8.8,1,24.0,OZONE,PPB,26.0,1.0
2020-08-03T03:00:00,35,PM2.5,UG/M3,8.4,1,23.0,OZONE,PPB,25.0,1.0
2020-08-03T04:00:00,33,PM2.5,UG/M3,7.9,1,23.0,OZONE,PPB,25.0,1.0
2020-08-03T05:00:00,31,PM2.5,UG/M3,7.4,1,22.0,OZONE,PPB,24.0,1.0
2020-08-03T06:00:00,29,PM2.5,UG/M3,6.9,1,23.0,OZONE,PPB,25.0,1.0
2020-08-03T07:00:00,28,PM2.5,UG/M3,6.6,1,25.0,OZONE,PPB,27.0,1.0
2020-08-03T08:00:00,25,PM2.5,UG/M3,6.1,1,28.0,OZONE,PPB,30.0,1.0
2020-08-03T09:00:00,25,PM2.5,UG/M3,6.0,1,31.0,OZONE,PPB,33.0,1.0
2020-08-03T10:00:00,25,PM2.5,UG/M3,6.0,1,33.0,OZONE,PPB,36.0,1.0
2020-08-03T11:00:00,24,PM2.5,UG/M3,5.7,1,37.0,OZONE,PPB,40.0,1.0
2020-08-03T12:00:00,22,PM2.5,UG/M3,5.2,1,40.0,OZONE,PPB,43.0,1.0
2020-08-03T13:00:00,22,PM2.5,UG/M3,5.2,1,43.0,OZONE,PPB,46.0,1.0
2020-08-03T14:00:00,21,PM2.5,UG/M3,5.0,1,44.0,OZONE,PPB,48.0,1.0
2020-08-03T15:00:00,20,PM2.5,UG/M3,4.8,1,46.0,OZONE,PPB,50.0,1.0
2020-08-03T16:00:00,20,PM2.5,UG/M3,4.9,1,46.0,OZONE,PPB,50.0,1.0
2020-08-03T17:00:00,21,PM2.5,UG/M3,5.1,1,45.0,OZONE,PPB,49.0,1.0
2020-08-03T18:00:00,23,PM2.5,UG/M3,5.5,1,44.0,OZONE,PPB,47.0,1.0
2020-08-03T19:00:00,23,PM2.5,UG/M3,5.5,1,42.0,OZONE,PPB,45.0,1.0
2020-08-03T20:00:00,24,PM2.5,UG/M3,5.8,1,38.0,OZONE,PPB,41.0,1.0
2020-08-03T21:00:00,26,PM2.5,UG/M3,6.3,1,34.0,OZONE,PPB,37.0,1.0
2020-08-03T22:00:00,28,PM2.5,UG/M3,6.6,1,31.0,OZONE,PPB,33.0,1.0
2020-08-03T23:00:00,28,PM2.5,UG/M3,6.8,1,26.0,OZONE,PPB,28.0,1.0
2020-08-04T00:00:00,28,PM2.5,UG/M3,6.8,1,21.0,OZONE,PPB,23.0,1.0
2020-08-04T01:00:00,28,PM2.5,UG/M3,6.8,1,18.0,OZONE,PPB,19.0,1.0
2020-08-04T02:00:00,28,PM2.5,UG/M3,6.8,1,15.0,OZONE,PPB,16.0,1.0
2020-08-04T03:00:00,28,PM2.5,UG/M3,6.8,1,12.0,OZONE,PPB,13.0,1.0
2020-08-04T04:00:00,30,PM2.5,UG/M3,7.3,1,9.0,OZONE,PPB,10.0,1.0
2020-08-04T05:00:00,32,PM2.5,UG/M3,7.6,1,8.0,OZONE,PPB,9.0,1.0
2020-08-04T06:00:00,32,PM2.5,UG/M3,7.7,1,8.0,OZONE,PPB,9.0,1.0
2020-08-04T07:00:00,31,PM2.5,UG/M3,7.4,1,6.0,OZONE,PPB,7.0,1.0
2020-08-04T08:00:00,30,PM2.5,UG/M3,7.1,1,6.0,OZONE,PPB,7.0,1.0
2020-08-04T09:00:00,28,PM2.5,UG/M3,6.6,1,6.0,OZONE,PPB,7.0,1.0
2020-08-04T10:00:00,25,PM2.5,UG/M3,6.1,1,7.0,OZONE,PPB,8.0,1.0
2020-08-04T11:00:00,25,PM2.5,UG/M3,6.1,1,10.0,OZONE,PPB,11.0,1.0
2020-08-04T12:00:00,26,PM2.5,UG/M3,6.2,1,11.0,OZONE,PPB,12.0,1.0
2020-08-04T13:00:00,24,PM2.5,UG/M3,5.7,1,14.0,OZONE,PPB,15.0,1.0
2020-08-04T14:00:00,23,PM2.5,UG/M3,5.6,1,17.0,OZONE,PPB,18.0,1.0
2020-08-04T15:00:00,24,PM2.5,UG/M3,5.7,1,20.0,OZONE,PPB,22.0,1.0
2020-08-04T16:00:00,24,PM2.5,UG/M3,5.7,1,23.0,OZONE,PPB,25.0,1.0
