datetime,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Wind Speed,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Conditions
2020-12-16T00:00:00,25.1,25.1,25.1,21.7,86.87,0.1,0.0,0.0,,0.0,5.9,66.8,1020.2,Partially cloudy
2020-12-16T01:00:00,25.5,25.5,25.5,22.2,87.03,0.1,0.0,0.0,,0.0,7.0,71.8,1019.9,Partially cloudy
2020-12-16T02:00:00,24.7,24.7,24.7,21.7,88.22,1.3,337.0,0.0,,0.0,5.8,71.8,1019.5,Partially cloudy
2020-12-16T03:00:00,25.5,25.5,25.5,22.3,87.28,0.1,0.0,0.0,,0.0,5.2,71.8,1019.4,Partially cloudy
2020-12-16T04:00:00,25.3,25.3,25.3,21.6,85.86,0.3,0.0,0.0,,0.0,6.4,71.8,1018.6,Partially cloudy
2020-12-16T05:00:00,25.9,25.9,25.9,21.6,83.63,0.7,348.0,0.0,,0.0,7.0,71.8,1018.8,Partially cloudy
2020-12-16T06:00:00,25.8,25.8,25.8,21.0,81.69,3.2,265.0,0.0,,0.0,7.7,71.8,1019.1,Partially cloudy
2020-12-16T07:00:00,25.9,25.9,25.9,21.0,81.44,3.1,264.0,0.0,,0.0,7.7,71.8,1019.4,Partially cloudy
2020-12-16T08:00:00,24.8,24.8,24.8,21.7,87.74,4.3,231.0,0.0,,0.0,6.2,71.8,1019.5,Partially cloudy
2020-12-16T09:00:00,25.9,25.9,25.9,22.2,85.85,5.8,232.0,0.0,,0.0,5.1,71.8,1019.8,Partially cloudy
2020-12-16T10:00:00,26.7,26.7,26.7,22.9,85.21,5.0,244.0,0.0,,0.0,5.1,71.8,1020.1,Partially cloudy
2020-12-16T11:00:00,28.2,28.2,28.2,23.6,82.88,5.8,231.0,0.0,,0.0,6.4,71.8,1020.2,Partially cloudy
2020-12-16T12:00:00,29.3,29.3,29.3,23.7,79.28,5.0,220.0,0.0,,0.0,7.1,71.8,1019.1,Partially cloudy
2020-12-16T13:00:00,30.6,30.6,30.6,23.7,75.27,6.0,215.0,0.0,,0.0,7.8,71.8,1018.2,Partially cloudy
2020-12-16T14:00:00,31.9,31.9,31.9,23.7,71.28,5.7,200.0,0.0,,0.0,8.0,67.2,1017.9,Partially cloudy
2020-12-16T15:00:00,33.3,33.3,33.3,24.4,69.52,7.0,222.0,0.0,,0.0,9.2,53.9,1017.6,Partially cloudy
2020-12-16T16:00:00,34.3,34.3,34.3,24.4,66.78,5.2,218.0,0.0,,0.0,9.9,19.3,1017.6,Clear
2020-12-16T17:00:00,31.2,31.2,31.2,23.1,71.49,1.9,58.0,0.0,,0.0,9.2,0.0,1018.0,Clear
2020-12-16T18:00:00,28.6,28.6,28.6,22.4,77.07,2.3,64.0,0.0,,0.0,9.2,0.0,1018.2,Clear
2020-12-16T19:00:00,25.7,25.7,25.7,21.2,82.8,2.8,69.0,0.0,,0.0,8.9,11.3,1018.6,Clear
2020-12-16T20:00:00,24.3,24.3,24.3,20.0,83.33,2.4,82.0,0.0,,0.0,7.8,0.0,1018.8,Clear
2020-12-16T21:00:00,22.4,22.4,22.4,18.7,85.39,2.4,87.0,0.0,,0.0,6.0,0.0,1019.1,Clear
2020-12-16T22:00:00,22.1,22.1,22.1,17.6,82.59,2.9,93.0,0.0,,0.0,6.0,0.0,1019.4,Clear
2020-12-16T23:00:00,21.2,21.2,21.2,16.8,82.97,2.6,87.0,0.0,,0.0,6.0,12.9,1019.5,Clear
2020-12-17T00:00:00,22.4,22.4,22.4,18.2,83.62,2.0,98.0,0.0,,0.0,7.1,63.7,1019.4,Partially cloudy
2020-12-17T01:00:00,24.8,24.8,24.8,21.1,85.61,3.9,210.0,0.0,,0.0,7.8,41.6,1018.9,Partially cloudy
2020-12-17T02:00:00,23.1,23.1,23.1,18.7,82.83,2.0,259.0,0.0,,0.0,7.8,0.0,1018.7,Clear
2020-12-17T03:00:00,23.2,23.2,23.2,19.2,84.49,3.7,231.0,0.0,,0.0,7.8,0.0,1018.7,Clear
2020-12-17T04:00:00,22.5,22.5,22.5,18.6,84.64,1.6,290.0,0.0,,0.0,7.8,0.0,1018.5,Clear
2020-12-17T05:00:00,21.8,21.8,21.8,17.8,84.32,0.8,349.0,0.0,,0.0,8.2,0.0,1018.8,Clear
2020-12-17T06:00:00,22.2,22.2,22.2,18.3,84.78,3.2,277.0,0.0,,0.0,8.9,0.0,1019.4,Clear
2020-12-17T07:00:00,22.2,22.2,22.2,18.0,83.36,3.3,228.0,0.0,,0.0,8.9,0.0,1020.1,Clear
2020-12-17T08:00:00,22.1,22.1,22.1,18.3,85.23,2.9,216.0,0.0,,0.0,8.9,0.0,1020.5,Clear
2020-12-17T09:00:00,27.5,27.5,27.5,22.3,80.5,3.1,271.0,0.0,,0.0,9.9,0.0,1020.6,Clear
2020-12-17T10:00:00,32.0,32.0,32.0,26.3,79.08,6.2,242.0,0.0,,0.0,9.9,0.0,1021.1,Clear
2020-12-17T11:00:00,37.5,37.5,37.5,28.8,70.65,6.9,251.0,0.0,,0.0,9.9,0.0,1021.4,Clear
2020-12-17T12:00:00,42.2,42.2,42.2,28.9,59.02,5.2,234.0,0.0,,0.0,9.9,0.0,1020.4,Clear
2020-12-17T13:00:00,45.6,45.6,45.6,29.4,52.7,7.0,229.0,0.0,,0.0,9.9,0.0,1019.3,Clear
2020-12-17T14:00:00,48.8,48.8,48.8,29.9,47.91,5.7,223.0,0.0,,0.0,9.9,0.0,1018.9,Clear
2020-12-17T15:00:00,50.3,50.3,50.3,29.8,45.24,6.1,215.0,0.0,,0.0,9.9,0.0,1018.6,Clear
2020-12-17T16:00:00,49.8,49.8,49.8,28.9,44.22,5.7,209.0,0.0,,0.0,9.9,0.0,1018.6,Clear
2020-12-17T17:00:00,44.0,44.0,44.0,28.1,53.42,1.6,76.0,0.0,,0.0,9.9,0.0,1018.5,Clear
2020-12-17T18:00:00,35.9,35.9,35.9,26.3,67.88,2.2,82.0,0.0,,0.0,9.9,0.0,1019.0,Clear
