datetime,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Wind Speed,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Conditions
2020-08-16T00:00:00,67.2,67.2,67.2,60.8,80.1,0.2,0.0,0.0,,0.0,9.9,41.6,1019.0,Partially cloudy
2020-08-16T01:00:00,65.1,65.1,65.1,60.4,84.92,1.1,76.0,0.0,,0.0,9.9,54.2,1018.7,Partially cloudy
2020-08-16T02:00:00,63.3,63.3,63.3,59.7,87.97,0.2,0.0,0.0,,0.0,9.9,36.7,1018.7,Partially cloudy
2020-08-16T03:00:00,62.3,62.3,62.3,59.0,88.94,1.7,67.0,0.0,,0.0,9.9,0.0,1018.0,Clear
2020-08-16T04:00:00,62.3,62.3,62.3,59.0,88.81,1.1,71.0,0.0,,0.0,9.9,0.0,1017.8,Clear
2020-08-16T05:00:00,63.7,63.7,63.7,60.8,90.46,0.4,2.0,0.0,,0.0,9.9,68.8,1018.7,Partially cloudy
2020-08-16T06:00:00,63.8,63.8,63.8,60.3,88.36,4.0,257.0,0.0,,0.0,9.9,50.7,1018.7,Partially cloudy
2020-08-16T07:00:00,64.5,64.5,64.5,60.3,86.09,4.6,341.0,0.0,,0.0,9.9,59.0,1021.1,Partially cloudy
2020-08-16T08:00:00,64.5,64.5,64.5,62.0,91.71,3.7,102.0,0.02,,0.0,9.9,32.5,1019.5,Rain Partially cloudy
2020-08-16T09:00:00,65.8,65.8,65.8,62.6,89.56,2.1,357.0,0.0,,0.0,9.9,17.2,1020.3,Clear
2020-08-16T10:00:00,70.1,70.1,70.1,63.3,79.1,1.8,301.0,0.0,,0.0,9.9,12.9,1020.1,Clear
2020-08-16T11:00:00,74.8,74.8,74.8,62.1,64.58,6.1,199.0,0.0,,0.0,9.9,64.9,1020.4,Partially cloudy
2020-08-16T12:00:00,74.9,74.9,74.9,63.9,68.73,5.1,220.0,0.02,,0.0,9.9,71.8,1020.8,Rain Partially cloudy
2020-08-16T13:00:00,71.7,71.7,71.7,64.3,77.5,5.1,194.0,0.23,,0.0,8.9,29.6,1020.5,Rain Partially cloudy
2020-08-16T14:00:00,74.2,74.2,74.2,63.7,69.93,2.9,273.0,0.0,,0.0,9.9,4.8,1019.5,Clear
2020-08-16T15:00:00,77.7,77.7,77.7,62.4,59.52,3.1,98.0,0.0,,0.0,9.9,2.4,1020.1,Clear
2020-08-16T16:00:00,80.9,80.9,80.9,62.1,53.0,7.4,174.0,0.0,,0.0,9.9,0.0,1019.0,Clear
2020-08-16T17:00:00,82.3,82.3,82.3,61.4,49.41,7.7,158.0,0.0,,0.0,9.9,0.0,1017.5,Clear
2020-08-16T18:00:00,81.9,81.9,81.9,61.7,50.33,7.5,175.0,0.0,,0.0,9.9,0.0,1016.3,Clear
2020-08-16T19:00:00,79.9,79.9,79.9,62.2,54.73,5.5,178.0,0.0,,0.0,9.9,0.0,1016.7,Clear
2020-08-16T20:00:00,75.1,75.1,75.1,63.5,67.25,5.5,294.0,0.0,,0.0,9.9,25.7,1017.0,Partially cloudy
2020-08-16T21:00:00,71.3,71.3,71.3,65.3,81.33,6.9,323.0,0.0,,0.0,9.9,38.5,1018.9,Partially cloudy
2020-08-16T22:00:00,68.0,68.0,68.0,65.4,91.48,11.8,108.0,0.28,,0.0,5.2,45.6,1023.5,Rain Partially cloudy
2020-08-16T23:00:00,67.3,67.3,67.3,64.2,89.77,7.3,173.0,0.09,,0.0,9.2,41.6,1021.1,Rain Partially cloudy
2020-08-17T00:00:00,65.7,65.7,65.7,64.2,94.99,2.8,327.0,0.07,,0.0,8.9,39.2,1020.6,Rain Partially cloudy
2020-08-17T01:00:00,66.6,66.6,66.6,63.4,89.46,4.5,212.0,0.17,,0.0,9.9,12.8,1018.7,Rain
2020-08-17T02:00:00,65.7,65.7,65.7,64.2,94.83,3.9,347.0,0.0,,0.0,9.9,0.0,1019.8,Clear
2020-08-17T03:00:00,64.6,64.6,64.6,62.8,94.05,0.5,0.0,0.0,,0.0,9.9,0.0,1019.3,Clear
2020-08-17T04:00:00,64.3,64.3,64.3,62.3,93.12,2.8,289.0,0.0,,0.0,9.9,2.4,1019.1,Clear
2020-08-17T05:00:00,63.4,63.4,63.4,61.7,94.0,3.9,237.0,0.0,,0.0,9.9,2.4,1020.1,Clear
2020-08-17T06:00:00,63.8,63.8,63.8,62.7,96.48,3.5,289.0,0.0,,0.0,9.9,0.0,1020.6,Clear
2020-08-17T07:00:00,62.6,62.6,62.6,62.2,98.51,1.0,344.0,0.0,,0.0,9.9,1.4,1021.1,Clear
2020-08-17T08:00:00,66.0,66.0,66.0,64.1,93.59,0.1,0.0,0.0,,0.0,9.9,0.0,1021.1,Clear
2020-08-17T09:00:00,70.6,70.6,70.6,65.4,83.6,2.5,337.0,0.0,,0.0,9.9,0.0,1021.6,Clear
2020-08-17T10:00:00,75.4,75.4,75.4,67.3,76.11,5.1,13.0,0.0,,0.0,9.9,0.0,1021.9,Clear
2020-08-17T11:00:00,79.5,79.5,79.5,63.6,58.38,6.2,19.0,0.0,,0.0,9.9,0.0,1022.1,Clear
2020-08-17T12:00:00,81.0,81.0,81.0,63.4,55.21,5.1,28.0,0.0,,0.0,9.9,0.0,1021.8,Clear
2020-08-17T13:00:00,83.3,83.3,83.3,62.9,50.31,5.8,22.0,0.0,,0.0,9.9,0.0,1021.3,Clear
2020-08-17T14:00:00,84.8,84.8,84.8,62.9,47.8,6.8,11.0,0.0,,0.0,9.9,0.0,1020.9,Clear
2020-08-17T15:00:00,85.6,85.6,85.6,62.9,46.71,8.2,9.0,0.0,,0.0,9.9,0.0,1020.4,Clear
2020-08-17T16:00:00,85.4,85.4,85.4,62.3,46.02,7.0,16.0,0.0,,0.0,9.9,0.0,1019.9,Clear
2020-08-17T17:00:00,85.3,85.3,85.3,63.4,47.98,5.6,6.0,0.0,,0.0,9.9,0.0,1019.3,Clear
2020-08-17T18:00:00,84.6,84.6,84.6,62.2,47.09,5.5,16.0,0.0,,0.0,9.9,0.0,1019.2,Clear
2020-08-17T19:00:00,82.8,82.8,82.8,64.6,54.2,3.3,1.0,0.0,,0.0,9.9,0.0,1019.0,Clear
2020-08-17T20:00:00,78.3,78.3,78.3,65.5,64.93,0.8,4.0,0.0,,0.0,9.9,0.0,1018.8,Clear
2020-08-17T21:00:00,70.7,70.7,70.7,64.8,81.48,1.4,348.0,0.0,,0.0,9.9,0.0,1019.3,Clear
2020-08-17T22:00:00,68.2,68.2,68.2,64.3,87.32,0.5,0.0,0.0,,0.0,9.9,0.0,1019.8,Clear
2020-08-17T23:00:00,65.9,65.9,65.9,63.5,91.94,1.8,348.0,0.0,,0.0,9.9,0.0,1020.1,Clear
2020-08-18T00:00:00,64.0,64.0,64.0,62.8,95.9,0.6,0.0,0.0,,0.0,9.9,0.0,1020.1,Clear
2020-08-18T01:00:00,63.5,63.5,63.5,62.3,95.89,0.7,0.0,0.0,,0.0,9.9,0.0,1019.7,Clear
2020-08-18T02:00:00,61.8,61.8,61.8,61.0,97.15,0.4,0.0,0.0,,0.0,9.9,0.0,1019.7,Clear
2020-08-18T03:00:00,61.2,61.2,61.2,60.4,97.09,0.4,0.0,0.0,,0.0,8.2,0.0,1019.6,Clear
2020-08-18T04:00:00,60.3,60.3,60.3,59.7,97.94,0.2,0.0,0.0,,0.0,6.6,25.7,1019.5,Partially cloudy
2020-08-18T05:00:00,59.4,59.4,59.4,59.0,98.59,0.1,0.0,0.0,,0.0,5.3,25.7,1019.7,Partially cloudy
2020-08-18T06:00:00,59.1,59.1,59.1,58.3,97.35,0.2,0.0,0.0,,0.0,6.6,22.6,1019.8,Clear
2020-08-18T07:00:00,58.5,58.5,58.5,57.6,96.98,0.3,0.0,0.0,,0.0,5.7,22.6,1020.1,Clear
2020-08-18T08:00:00,62.3,62.3,62.3,61.0,95.47,0.0,0.0,0.0,,0.0,8.6,0.0,1020.6,Clear
2020-08-18T09:00:00,66.8,66.8,66.8,64.2,91.15,0.1,0.0,0.0,,0.0,9.9,0.0,1020.8,Clear
2020-08-18T10:00:00,73.3,73.3,73.3,64.6,74.36,0.3,0.0,0.0,,0.0,9.9,0.0,1020.9,Clear
2020-08-18T11:00:00,76.5,76.5,76.5,61.2,59.24,0.6,0.0,0.0,,0.0,9.9,0.0,1020.8,Clear
2020-08-18T12:00:00,77.9,77.9,77.9,61.6,57.49,2.0,86.0,0.0,,0.0,9.9,2.4,1020.4,Clear
2020-08-18T13:00:00,79.7,79.7,79.7,61.7,54.32,2.4,358.0,0.0,,0.0,9.9,2.4,1020.2,Clear
2020-08-18T14:00:00,79.7,79.7,79.7,63.4,57.66,0.9,0.0,0.0,,0.0,9.9,4.3,1019.4,Clear
2020-08-18T15:00:00,81.5,81.5,81.5,64.8,56.96,3.7,33.0,0.0,,0.0,9.9,1.4,1018.6,Clear
