AQI,weekday,speed,travel_time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Precipitation,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Conditions,Wx,Wy,Day sin,Day cos,Year sin,Year cos
13.0,2.0,24.484583333333347,238.47115384615384,76.5,76.5,76.5,69.40000000000016,78.7400000000004,0.0,0.0,9.900000000000054,0.0,1016.0,0.0,-7.111356052285005,1.1263281482896652,-1.279802639425115e-11,1.0,0.0258657909590017,-0.9996654244586362
12.0,2.0,24.76714743589747,235.3397435897436,74.79999999999957,74.79999999999957,74.79999999999957,69.2999999999996,83.06999999999977,0.0,0.0,9.900000000000054,0.0,1016.4000000000008,0.0,-6.583922731714804,-0.4603927267112213,0.2588190450991168,0.9659258262899804,0.025149241815311,-0.9996837077976788
12.0,2.0,23.71173076923077,227.52564102564105,74.40000000000025,74.40000000000025,74.40000000000025,68.7000000000004,82.40999999999988,0.0,0.0,9.900000000000054,0.0,1016.0,0.0,-6.139662026197766,-0.8628732259524106,0.4999999999923774,0.8660254037888396,0.0244326797505193,-0.9997014775222696
12.0,2.0,25.26282051282049,305.6442307692308,73.5,73.5,73.5,68.59999999999985,84.68000000000023,0.0,0.0,9.900000000000054,0.0,1015.5,0.0,-6.021920110204444,-2.9370866834868283,0.7071067811868814,0.7071067811862136,0.0237161051327798,-0.999718733623278
12.0,2.0,27.35660256410257,293.8557692307692,73.09999999999978,73.09999999999978,73.09999999999978,68.0,83.97000000000025,0.0,0.0,9.900000000000054,0.0,1015.0,0.0,-4.969287330404677,-1.1472503771537064,0.8660254037820359,0.5000000000041618,0.0229995183302519,-0.9997354760918392
12.0,2.0,31.221346153846188,187.77884615384616,71.09999999999981,71.09999999999981,71.09999999999981,67.90000000000012,89.75,0.0,0.0,9.900000000000054,0.0,1015.5,0.0,-3.3921923846257043,-2.119677056932819,0.9659258262864584,0.2588190451122606,0.0222829197111016,-0.9997517049193508
14.0,2.0,29.094358974359015,207.52884615384616,69.90000000000018,69.90000000000018,69.90000000000018,67.20000000000039,91.13999999999965,0.0,0.0,9.900000000000054,0.0,1015.5,0.0,-0.7764571353075619,-2.897777478867205,1.0,8.094553174788175e-13,0.0215663096435006,-0.9997674200974748
16.0,2.0,23.42830128205128,268.0544871794872,71.9000000000002,71.9000000000002,71.9000000000002,68.5,88.97999999999963,0.0,0.0,9.900000000000054,0.0,1016.5,0.0,-0.312868930080462,-1.9753766811902755,0.9659258262906438,-0.2588190450966409,0.0208496884956267,-0.9997826216181372
18.0,2.0,20.67612179487181,296.1025641025641,75.0,75.0,75.0,68.59999999999985,80.65999999999988,0.0,0.0,9.900000000000054,0.0,1016.700000000006,0.0,-6.152074854005275,-1.7640790772288035,0.8660254037901213,-0.4999999999901575,0.0201330566356634,-0.999797309473528
20.0,2.0,18.913717948717927,325.29487179487177,79.0,79.0,79.0,69.90000000000018,73.72000000000013,0.0,0.0,9.900000000000054,0.0,1016.5,0.0,-7.171881598543036,-3.975438886019957,0.7071067811880262,-0.7071067811850689,0.0194164144317994,-0.9998114836561004
