datetime,AQI_PM2.5,AQI_OZONE
2021-02-01T00:00:00,30,14
2021-02-01T01:00:00,30,14
2021-02-01T02:00:00,28,15
2021-02-01T03:00:00,28,16
2021-02-01T04:00:00,27,17
2021-02-01T05:00:00,27,18
2021-02-01T06:00:00,27,19
2021-02-01T07:00:00,26,20
2021-02-01T08:00:00,26,21
2021-02-01T09:00:00,25,22
2021-02-01T10:00:00,24,23
2021-02-01T11:00:00,23,24
2021-02-01T12:00:00,22,25
2021-02-01T13:00:00,21,26
2021-02-01T14:00:00,20,26
2021-02-01T15:00:00,20,27
2021-02-01T16:00:00,19,27
2021-02-01T17:00:00,19,28
2021-02-01T18:00:00,19,27
2021-02-01T19:00:00,19,27
2021-02-01T20:00:00,19,26
2021-02-01T21:00:00,19,25
2021-02-01T22:00:00,19,24
2021-02-01T23:00:00,18,24
2021-02-02T00:00:00,19,23
2021-02-02T01:00:00,19,22
2021-02-02T02:00:00,19,22
2021-02-02T03:00:00,19,22
2021-02-02T04:00:00,19,23
2021-02-02T05:00:00,19,23
2021-02-02T06:00:00,19,23
2021-02-02T07:00:00,20,23
2021-02-02T08:00:00,19,23
2021-02-02T09:00:00,20,24
2021-02-02T10:00:00,20,24
2021-02-02T11:00:00,20,24
2021-02-02T12:00:00,20,24
2021-02-02T13:00:00,21,25
2021-02-02T14:00:00,22,25
2021-02-02T15:00:00,22,25
2021-02-02T16:00:00,22,24
2021-02-02T17:00:00,22,24
2021-02-02T18:00:00,22,24
2021-02-02T19:00:00,23,24
2021-02-02T20:00:00,23,24
2021-02-02T21:00:00,23,24
2021-02-02T22:00:00,23,23
2021-02-02T23:00:00,23,22
2021-02-03T00:00:00,23,22
2021-02-03T01:00:00,23,22
2021-02-03T02:00:00,23,22
2021-02-03T03:00:00,24,21
2021-02-03T04:00:00,24,21
2021-02-03T05:00:00,25,20
2021-02-03T06:00:00,25,20
2021-02-03T07:00:00,25,22
2021-02-03T08:00:00,25,22
2021-02-03T09:00:00,26,22
2021-02-03T10:00:00,26,23
2021-02-03T11:00:00,26,25
2021-02-03T12:00:00,26,26
2021-02-03T13:00:00,26,26
2021-02-03T14:00:00,26,26
2021-02-03T15:00:00,26,25
2021-02-03T16:00:00,26,25
2021-02-03T17:00:00,25,24
2021-02-03T18:00:00,25,25
2021-02-03T19:00:00,25,24
2021-02-03T20:00:00,25,24
2021-02-03T21:00:00,25,24
2021-02-03T22:00:00,25,24
2021-02-03T23:00:00,25,24
2021-02-04T00:00:00,24,25
2021-02-04T01:00:00,24,26
2021-02-04T02:00:00,24,25
2021-02-04T03:00:00,23,26
2021-02-04T04:00:00,23,26
2021-02-04T05:00:00,23,26
2021-02-04T06:00:00,23,27
2021-02-04T07:00:00,24,28
2021-02-04T08:00:00,24,29
2021-02-04T09:00:00,25,30
2021-02-04T10:00:00,25,31
2021-02-04T11:00:00,26,32
2021-02-04T12:00:00,26,33
2021-02-04T13:00:00,27,33
2021-02-04T14:00:00,27,31
2021-02-04T15:00:00,28,29
2021-02-04T16:00:00,28,25
2021-02-04T17:00:00,29,20
2021-02-04T18:00:00,29,16
2021-02-04T19:00:00,30,12
2021-02-04T20:00:00,30,8
2021-02-04T21:00:00,31,5
2021-02-04T22:00:00,31,4
2021-02-04T23:00:00,32,3
2021-02-05T00:00:00,33,3
2021-02-05T01:00:00,34,3
2021-02-05T02:00:00,35,3
2021-02-05T03:00:00,38,3
2021-02-05T04:00:00,39,5
2021-02-05T05:00:00,40,6
2021-02-05T06:00:00,40,8
2021-02-05T07:00:00,42,11
2021-02-05T08:00:00,42,14
2021-02-05T09:00:00,43,17
2021-02-05T10:00:00,43,19
2021-02-05T11:00:00,43,21
2021-02-05T12:00:00,43,21
2021-02-05T13:00:00,43,20
2021-02-05T14:00:00,43,19
2021-02-05T15:00:00,43,17
2021-02-05T16:00:00,43,15
2021-02-05T17:00:00,43,14
2021-02-05T18:00:00,43,14
2021-02-05T19:00:00,43,14
2021-02-05T20:00:00,44,14
2021-02-05T21:00:00,44,16
2021-02-05T22:00:00,44,18
2021-02-05T23:00:00,44,20
2021-02-06T00:00:00,43,21
2021-02-06T01:00:00,41,22
2021-02-06T02:00:00,40,20
2021-02-06T03:00:00,39,19
2021-02-06T04:00:00,38,17
2021-02-06T05:00:00,36,14
2021-02-06T06:00:00,36,13
2021-02-06T07:00:00,35,12
2021-02-06T08:00:00,34,14
2021-02-06T09:00:00,33,17
2021-02-06T10:00:00,33,19
2021-02-06T11:00:00,33,22
2021-02-06T12:00:00,32,26
2021-02-06T13:00:00,32,29
2021-02-06T14:00:00,33,31
2021-02-06T15:00:00,33,31
2021-02-06T16:00:00,33,30
2021-02-06T17:00:00,34,27
2021-02-06T18:00:00,34,24
2021-02-06T19:00:00,34,23
2021-02-06T20:00:00,34,21
2021-02-06T21:00:00,34,20
2021-02-06T22:00:00,35,18
2021-02-06T23:00:00,35,14
2021-02-07T00:00:00,35,12
2021-02-07T01:00:00,35,10
2021-02-07T02:00:00,36,10
2021-02-07T03:00:00,36,8
2021-02-07T04:00:00,37,6
2021-02-07T05:00:00,37,6
2021-02-07T06:00:00,38,6
2021-02-07T07:00:00,39,8
2021-02-07T08:00:00,40,9
2021-02-07T09:00:00,40,10
2021-02-07T10:00:00,40,12
2021-02-07T11:00:00,41,14
2021-02-07T12:00:00,42,15
2021-02-07T13:00:00,43,16
2021-02-07T14:00:00,42,17
2021-02-07T15:00:00,42,17
2021-02-07T16:00:00,41,18
2021-02-07T17:00:00,40,19
2021-02-07T18:00:00,39,20
2021-02-07T19:00:00,38,22
2021-02-07T20:00:00,38,23
2021-02-07T21:00:00,37,25
2021-02-07T22:00:00,36,26
2021-02-07T23:00:00,36,29
2021-02-08T00:00:00,36,31
2021-02-08T01:00:00,36,31
2021-02-08T02:00:00,35,30
2021-02-08T03:00:00,35,29
2021-02-08T04:00:00,35,27
2021-02-08T05:00:00,35,26
2021-02-08T06:00:00,34,26
2021-02-08T07:00:00,33,26
2021-02-08T08:00:00,33,26
2021-02-08T09:00:00,32,26
2021-02-08T10:00:00,32,26
2021-02-08T11:00:00,32,27
2021-02-08T12:00:00,32,27
2021-02-08T13:00:00,31,27
2021-02-08T14:00:00,31,25
2021-02-08T15:00:00,32,21
2021-02-08T16:00:00,32,19
2021-02-08T17:00:00,33,16
2021-02-08T18:00:00,33,13
2021-02-08T19:00:00,33,10
2021-02-08T20:00:00,34,8
2021-02-08T21:00:00,35,7
2021-02-08T22:00:00,35,6
2021-02-08T23:00:00,35,5
2021-02-09T00:00:00,35,5
2021-02-09T01:00:00,36,4
2021-02-09T02:00:00,37,3
2021-02-09T03:00:00,38,3
2021-02-09T04:00:00,38,1
2021-02-09T05:00:00,40,0
2021-02-09T06:00:00,40,2
2021-02-09T07:00:00,40,3
2021-02-09T08:00:00,40,5
2021-02-09T09:00:00,40,6
2021-02-09T10:00:00,41,6
2021-02-09T11:00:00,42,6
2021-02-09T12:00:00,42,7
2021-02-09T13:00:00,43,7
2021-02-09T14:00:00,43,7
2021-02-09T15:00:00,44,6
2021-02-09T16:00:00,44,6
2021-02-09T17:00:00,46,6
2021-02-09T18:00:00,47,6
2021-02-09T19:00:00,47,6
2021-02-09T20:00:00,46,6
2021-02-09T21:00:00,46,6
2021-02-09T22:00:00,46,6
2021-02-09T23:00:00,46,7
2021-02-10T00:00:00,46,7
2021-02-10T01:00:00,46,7
2021-02-10T02:00:00,45,6
2021-02-10T03:00:00,45,6
2021-02-10T04:00:00,45,6
2021-02-10T05:00:00,44,7
2021-02-10T06:00:00,44,9
2021-02-10T07:00:00,43,11
2021-02-10T08:00:00,43,14
2021-02-10T09:00:00,43,17
2021-02-10T10:00:00,43,21
2021-02-10T11:00:00,43,25
2021-02-10T12:00:00,43,28
2021-02-10T13:00:00,43,30
2021-02-10T14:00:00,43,31
2021-02-10T15:00:00,42,30
2021-02-10T16:00:00,40,30
2021-02-10T17:00:00,38,27
2021-02-10T18:00:00,37,24
2021-02-10T19:00:00,36,21
2021-02-10T20:00:00,37,19
2021-02-10T21:00:00,37,19
2021-02-10T22:00:00,37,19
2021-02-10T23:00:00,38,19
2021-02-11T00:00:00,37,19
2021-02-11T01:00:00,37,20
2021-02-11T02:00:00,36,22
2021-02-11T03:00:00,36,24
2021-02-11T04:00:00,36,24
2021-02-11T05:00:00,37,23
2021-02-11T06:00:00,37,23
2021-02-11T07:00:00,38,22
2021-02-11T08:00:00,37,23
2021-02-11T09:00:00,37,24
2021-02-11T10:00:00,37,25
2021-02-11T11:00:00,36,26
2021-02-11T12:00:00,35,28
2021-02-11T13:00:00,35,30
2021-02-11T14:00:00,34,30
2021-02-11T15:00:00,34,30
2021-02-11T16:00:00,34,30
2021-02-11T17:00:00,34,30
2021-02-11T18:00:00,34,29
2021-02-11T19:00:00,34,28
2021-02-11T20:00:00,33,27
2021-02-11T21:00:00,32,26
2021-02-11T22:00:00,31,26
2021-02-11T23:00:00,32,26
2021-02-12T00:00:00,32,25
2021-02-12T01:00:00,32,25
2021-02-12T02:00:00,31,24
2021-02-12T03:00:00,31,24
2021-02-12T04:00:00,30,24
2021-02-12T05:00:00,30,24
2021-02-12T06:00:00,29,24
2021-02-12T07:00:00,28,24
2021-02-12T08:00:00,28,24
2021-02-12T09:00:00,28,25
2021-02-12T10:00:00,27,26
2021-02-12T11:00:00,27,27
2021-02-12T12:00:00,27,28
2021-02-12T13:00:00,28,29
2021-02-12T14:00:00,28,28
2021-02-12T15:00:00,28,27
2021-02-12T16:00:00,27,26
2021-02-12T17:00:00,27,24
2021-02-12T18:00:00,27,23
2021-02-12T19:00:00,27,22
2021-02-12T20:00:00,26,21
2021-02-12T21:00:00,27,20
2021-02-12T22:00:00,27,19
2021-02-12T23:00:00,26,19
2021-02-13T00:00:00,25,19
2021-02-13T01:00:00,26,20
2021-02-13T02:00:00,26,20
2021-02-13T03:00:00,27,20
2021-02-13T04:00:00,27,21
2021-02-13T05:00:00,27,22
2021-02-13T06:00:00,28,23
2021-02-13T07:00:00,28,24
2021-02-13T08:00:00,28,24
2021-02-13T09:00:00,28,24
2021-02-13T10:00:00,28,24
2021-02-13T11:00:00,29,24
2021-02-13T12:00:00,30,23
2021-02-13T13:00:00,30,23
2021-02-13T14:00:00,30,20
2021-02-13T15:00:00,31,19
2021-02-13T16:00:00,32,18
2021-02-13T17:00:00,32,16
2021-02-13T18:00:00,33,16
2021-02-13T19:00:00,33,16
2021-02-13T20:00:00,35,16
2021-02-13T21:00:00,35,16
2021-02-13T22:00:00,36,17
2021-02-13T23:00:00,36,18
2021-02-14T00:00:00,37,19
2021-02-14T01:00:00,37,19
2021-02-14T02:00:00,37,19
2021-02-14T03:00:00,37,19
2021-02-14T04:00:00,37,19
2021-02-14T05:00:00,38,18
2021-02-14T06:00:00,37,18
2021-02-14T07:00:00,38,18
2021-02-14T08:00:00,38,19
2021-02-14T09:00:00,38,19
2021-02-14T10:00:00,38,21
2021-02-14T11:00:00,38,21
2021-02-14T12:00:00,37,23
2021-02-14T13:00:00,37,24
2021-02-14T14:00:00,37,23
2021-02-14T15:00:00,37,23
2021-02-14T16:00:00,36,22
2021-02-14T17:00:00,36,21
2021-02-14T18:00:00,36,20
2021-02-14T19:00:00,35,20
2021-02-14T20:00:00,35,20
2021-02-14T21:00:00,35,20
2021-02-14T22:00:00,35,20
2021-02-14T23:00:00,35,21
2021-02-15T00:00:00,36,21
2021-02-15T01:00:00,36,22
2021-02-15T02:00:00,36,22
2021-02-15T03:00:00,37,21
2021-02-15T04:00:00,37,21
2021-02-15T05:00:00,37,21
2021-02-15T06:00:00,38,20
2021-02-15T07:00:00,38,20
2021-02-15T08:00:00,38,19
2021-02-15T09:00:00,37,19
2021-02-15T10:00:00,37,19
2021-02-15T11:00:00,36,18
2021-02-15T12:00:00,35,18
2021-02-15T13:00:00,35,17
2021-02-15T14:00:00,33,16
2021-02-15T15:00:00,31,16
2021-02-15T16:00:00,30,14
2021-02-15T17:00:00,29,13
2021-02-15T18:00:00,27,12
2021-02-15T19:00:00,26,12
2021-02-15T20:00:00,26,11
2021-02-15T21:00:00,25,11
2021-02-15T22:00:00,25,11
2021-02-15T23:00:00,25,11
