datetime,AQI_PM2.5,Parameter_PM2.5,Unit_PM2.5,Value_PM2.5,Category_PM2.5,AQI_OZONE,Parameter_OZONE,Unit_OZONE,Value_OZONE,Category_OZONE
2020-08-18T22:00:00,13.0,PM2.5,UG/M3,3.2,1.0,18.0,OZONE,PPB,19.0,1.0
2020-08-18T23:00:00,14.0,PM2.5,UG/M3,3.3,1.0,16.0,OZONE,PPB,17.0,1.0
2020-08-19T00:00:00,15.0,PM2.5,UG/M3,3.5,1.0,14.0,OZONE,PPB,15.0,1.0
2020-08-19T01:00:00,15.0,PM2.5,UG/M3,3.6,1.0,13.0,OZONE,PPB,14.0,1.0
2020-08-19T02:00:00,15.0,PM2.5,UG/M3,3.7,1.0,12.0,OZONE,PPB,13.0,1.0
2020-08-19T03:00:00,16.0,PM2.5,UG/M3,3.8,1.0,10.0,OZONE,PPB,11.0,1.0
2020-08-19T04:00:00,16.0,PM2.5,UG/M3,3.8,1.0,9.0,OZONE,PPB,10.0,1.0
2020-08-19T05:00:00,16.0,PM2.5,UG/M3,3.8,1.0,8.0,OZONE,PPB,9.0,1.0
2020-08-19T06:00:00,17.0,PM2.5,UG/M3,4.0,1.0,7.0,OZONE,PPB,8.0,1.0
2020-08-19T07:00:00,18.0,PM2.5,UG/M3,4.2,1.0,6.0,OZONE,PPB,7.0,1.0
2020-08-19T08:00:00,18.0,PM2.5,UG/M3,4.3,1.0,6.0,OZONE,PPB,7.0,1.0
2020-08-19T09:00:00,19.0,PM2.5,UG/M3,4.6,1.0,7.0,OZONE,PPB,8.0,1.0
2020-08-19T10:00:00,21.0,PM2.5,UG/M3,5.0,1.0,8.0,OZONE,PPB,9.0,1.0
2020-08-19T11:00:00,23.0,PM2.5,UG/M3,5.5,1.0,11.0,OZONE,PPB,12.0,1.0
2020-08-19T12:00:00,22.0,PM2.5,UG/M3,5.2,1.0,14.0,OZONE,PPB,15.0,1.0
2020-08-19T13:00:00,22.0,PM2.5,UG/M3,5.3,1.0,16.0,OZONE,PPB,17.0,1.0
2020-08-19T14:00:00,23.0,PM2.5,UG/M3,5.4,1.0,18.0,OZONE,PPB,19.0,1.0
2020-08-19T15:00:00,23.0,PM2.5,UG/M3,5.5,1.0,21.0,OZONE,PPB,23.0,1.0
2020-08-19T16:00:00,23.0,PM2.5,UG/M3,5.4,1.0,23.0,OZONE,PPB,25.0,1.0
2020-08-19T17:00:00,22.0,PM2.5,UG/M3,5.3,1.0,25.0,OZONE,PPB,27.0,1.0
2020-08-19T18:00:00,23.0,PM2.5,UG/M3,5.4,1.0,25.0,OZONE,PPB,27.0,1.0
